Observation,Open,High,Low,Close,Adj Close,Volume
1,49.57,49.849998,49.57,49.790001,38.895077,1310200
2,50.360001,50.970001,50.290001,50.84,39.715317,1528800
3,50.939999,51.450001,50.880001,51.220001,40.012165,2226300
4,50.900002,51.009998,50.740002,50.869999,40.064148,1462300
5,50.639999,50.939999,50.369999,50.66,39.898746,1114200
6,50.759998,50.959999,50.650002,50.740002,39.961758,915700
7,50.650002,51.150002,50.450001,51.139999,40.276794,1461600
8,51.299999,51.310001,50.82,51.139999,40.276794,1252400
9,51.25,51.450001,51.110001,51.150002,40.28466,1190600
10,51.209999,51.27,50.779999,50.860001,40.056267,1506900
11,50.790001,50.970001,50.110001,50.27,39.591591,1292700
12,50.18,50.27,49.970001,50.060001,39.426208,1117000
13,50.130001,50.630001,49.939999,50.610001,39.859367,1364700
14,50.59,50.84,50.310001,50.779999,39.993259,840400
15,50.82,51.41,50.639999,51.369999,40.457935,1605300
16,51.630001,52.200001,51.630001,52.080002,41.017105,1265500
17,52.209999,52.240002,51.919998,52.189999,41.103741,1064700
18,52.25,52.32,51.75,51.900002,40.875347,1156600
19,51.669998,51.990002,51.509998,51.759998,40.765076,1429800
20,51.919998,52.18,51.389999,51.77,40.772957,1443000
21,51.810001,51.959999,51.380001,51.66,40.686329,1360400
22,51.75,51.799999,51.459999,51.580002,40.623329,1112500
23,51.869999,52.150002,51.700001,51.830002,40.820221,1336300
24,51.580002,51.700001,51.380001,51.529999,40.583942,1024100
25,51.32,51.450001,51.23,51.32,40.418552,1140100
26,51.32,51.52,50.919998,51.52,40.576057,1245700
27,51.700001,51.990002,51.59,51.91,40.883224,1356200
28,52.23,52.299999,52.119999,52.169998,41.08799,1192700
29,52.360001,52.470001,52.25,52.349998,41.229759,1389400
30,52.48,52.599998,52.259998,52.470001,41.324268,1331600
31,52.43,52.900002,52.41,52.900002,41.662922,1267800
32,53.02,53.18,52.93,52.970001,41.718052,1483400
33,52.869999,53.07,52.560001,53.029999,41.765305,1089300
34,52.959999,53.220001,52.849998,53.099998,41.820438,2162600
35,52.939999,53.740002,52.900002,53.669998,42.26936,2598500
36,53.939999,54.439999,53.48,53.540001,42.166977,2181200
37,53.41,53.650002,52.709999,52.84,41.615669,2278000
38,53,53,52.189999,52.73,41.529034,2226200
39,52.259998,52.669998,51.549999,51.599998,40.639072,2316400
40,52.110001,52.240002,51.639999,52.16,41.08012,2759500
41,53.549999,53.549999,51.220001,51.490002,40.552444,2983200
42,51.419998,52.139999,51.389999,52.099998,41.03286,2055900
43,51.919998,52.43,51.650002,52.369999,41.245506,1737200
44,52.41,52.610001,52.169998,52.23,41.135246,1407000
45,52.41,52.5,51.919998,52,40.954113,1813100
46,52,52.189999,51.619999,51.77,40.772957,1265600
47,52.029999,52.029999,48.91,49.02,38.607124,9254900
48,49.189999,50.16,49.07,49.849998,39.260807,4162900
49,49.810001,49.84,49.16,49.25,38.788265,1594500
50,49.360001,49.689999,49.049999,49.560001,39.032421,2458200
51,49.68,50.049999,49.639999,49.709999,39.150543,1352500
52,49.82,50.009998,49.41,49.5,38.985161,1302000
53,49.48,49.57,49.040001,49.130001,38.693756,1290500
54,49.599998,49.709999,48.459999,48.57,38.252705,2177800
55,48.110001,48.68,47.950001,48.59,38.268459,1738100
56,48.57,49.32,48.560001,49,38.591373,1739300
57,49.23,49.299999,48.52,48.68,38.339344,2098500
58,48.310001,48.779999,48.07,48.700001,38.355091,1587300
59,48.73,49.349998,48.73,49.240002,38.780392,1880500
60,49.380001,49.619999,49.110001,49.599998,39.063911,1729000
61,49.84,50.099998,49.490002,49.66,39.111172,2071800
62,49.900002,50.360001,49.810001,50.09,39.449825,2390500
63,50.150002,50.220001,49.490002,50.009998,39.386822,2227200
64,49.959999,50.310001,49.689999,50.169998,39.512829,1848300
65,50.400002,50.490002,49.799999,49.799999,39.221436,1986500
66,49.389999,49.849998,49.299999,49.450001,39.298515,1786300
67,49.549999,49.68,49.310001,49.380001,39.242886,1455500
68,49.5,49.959999,49.48,49.82,39.592567,1468900
69,49.869999,49.889999,49.16,49.619999,39.433617,1984700
70,49.529999,49.689999,49.150002,49.41,39.266727,1625100
71,49.310001,49.439999,48.59,48.669998,38.678646,1568400
72,48.82,49.740002,48.779999,49.740002,39.528988,2776200
73,49.41,49.59,49.049999,49.259998,39.147522,3192800
74,49.25,49.700001,48.709999,48.84,38.813736,1880200
75,48.939999,49.259998,48.790001,48.98,38.925007,1948900
76,48.830002,48.93,48.57,48.59,38.615067,1609600
77,49.27,49.459999,49.189999,49.34,39.211094,1464300
78,49.450001,49.529999,49.169998,49.25,39.13958,1656200
79,49.25,49.290001,48.23,48.32,38.400497,2477300
80,48.369999,48.369999,47.009998,47.110001,37.4389,3945100
81,47.07,47.400002,46.759998,47.09,37.422989,2231600
82,47.23,47.32,46.93,46.98,37.335564,1647700
83,46.959999,47.029999,46.25,46.439999,36.906437,2769300
84,46.259998,46.599998,45.790001,46.279999,36.779285,2483100
85,46.549999,46.57,45.91,46.02,36.572651,2141000
